"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Argentina,"233,696","189,802","94,25","116,267","130,544","98,599","118,565","121,561","142,386","91,352","158,024","211,979","255,787","264,429","287,835","288,497","304,282","327,436","334,244","316,998","317,759","300,421","112,458","142,431","164,911","199,273","232,892","287,921","363,545","334,633","424,729","527,644","579,666","611,471","563,614","642,464","556,774","643,861","524,431","451,815","389,064","486,702","632,241","641,102","638,583","635,705","650,141","680,511","712,153"
Bolivia,"3,589","3,44","3,813","3,609","3,752","4,059","3,97","4,323","4,598","4,716","4,868","5,335","5,635","5,724","5,974","6,707","7,385","7,919","8,49","8,269","8,385","8,155","7,917","8,092","8,785","9,573","11,52","13,216","16,792","17,464","19,786","24,135","27,282","30,883","33,237","33,241","34,189","37,782","40,581","41,193","36,897","40,703","43,221","46,097","48,707","51,619","54,601","57,812","61,211"
Brazil,"145,819","167,583","179,166","143,652","142,957","226,938","263,256","286,539","320,105","439,434","455,335","399,249","382,465","429,184","546,764","770,86","851,146","883,862","864,307","599,642","655,454","559,982","509,798","558,232","669,29","891,633","1107,628","1397,114","1695,855","1669,204","2208,704","2614,027","2464,053","2471,718","2456,055","1800,046","1796,622","2063,519","1916,934","1873,286","1476,092","1648,699","1924,134","2081,235","2210,617","2321,85","2449,002","2587,519","2758,832"
Chile,"29,032","34,374","25,63","20,819","20,246","17,36","18,662","22,01","25,947","29,889","33,231","38,249","46,597","49,855","57,517","74,119","78,575","85,73","81,996","75,596","78,25","71,517","70,295","76,508","99,079","122,315","153,84","172,565","179,663","171,794","217,105","251,225","267,165","277,218","259,394","242,515","249,306","276,357","295,428","278,354","254,276","316,667","300,729","358,557","375,697","390,637","405,401","422,35","441,444"
Colombia,"46,501","50,661","54,252","53,92","53,257","48,581","48,648","50,64","54,592","55,048","56,071","57,954","68,579","77,721","97,665","110,564","116,13","127,49","117,725","103,132","99,27","97,606","97,353","94,072","116,382","145,601","161,793","206,23","242,504","232,469","286,499","334,966","370,691","382,094","381,241","293,492","282,72","311,89","334,124","323,055","270,151","318,512","343,939","334,689","347,373","364,474","384,257","404,953","426,763"
Ecuador,"16,84","17,243","17,214","15,129","16,101","18,83","13,816","12,91","12,277","12,049","12,236","13,73","15,012","17,537","21,147","22,968","24,035","27,009","27,474","19,74","18,319","24,468","28,549","32,433","36,592","41,507","46,802","51,008","61,763","62,52","69,555","79,277","87,925","95,13","101,726","99,29","99,938","104,296","107,562","108,108","99,291","106,166","116,36","121,291","126,449","131,202","136,314","141,514","146,911"
Guyana,"0,842","0,808","0,692","0,703","0,654","0,697","0,789","0,728","0,828","0,832","0,685","0,744","0,823","1,003","1,176","1,332","1,495","1,587","1,5","1,488","1,497","1,504","1,555","1,592","1,657","1,712","1,899","2,225","2,491","2,596","2,889","3,328","4,063","4,168","4,128","4,28","4,483","4,748","4,788","5,174","5,471","7,658","14,521","16,309","22,014","22,63","29,58","30,462","31,425"
Paraguay,"4,095","5,22","5,47","6,069","4,931","4,214","5,032","4,216","5,584","4,046","4,904","6,984","7,158","7,249","7,871","9,062","9,788","9,965","9,26","8,837","8,856","8,496","7,196","7,691","9,624","10,738","13,43","17,856","24,615","22,355","27,129","33,737","33,296","38,651","40,378","36,211","36,09","38,997","40,225","37,925","35,432","39,951","41,284","42,82","45,283","48,49","51,291","54,327","57,611"
Peru,"20,19","24,398","24,259","18,863","19,442","16,823","25,241","41,681","32,978","40,699","28,326","33,988","35,377","34,33","43,225","51,38","53,412","56,281","53,918","48,719","50,414","51,034","53,954","58,537","66,126","74,232","87,459","102,187","121,25","121,763","148,945","170,923","193,1","202,584","202,88","192,025","195,463","215,681","226,795","232,345","205,82","225,937","242,396","268,235","279,456","292,885","306,954","321,476","336,74"
Suriname,"1,276","1,427","1,469","1,419","1,387","1,402","1,43","1,573","1,864","2,177","0,577","0,637","0,59","0,465","0,523","0,993","1,234","1,322","1,588","1,308","1,355","1,167","1,474","1,729",2,"2,393","2,812","3,144","3,783","4,15","4,677","4,735","5,332","5,51","5,612","5,126","3,317","3,592","3,996","3,984","2,884","2,985","3,521","3,47","3,78","3,964","4,187","4,436","4,687"
Uruguay,"12,165","13,578","11,1","6,093","5,794","5,662","7,029","8,794","9,098","9,589","11,156","13,445","15,45","17,987","20,95","23,168","24,625","26,044","27,587","26,066","24,786","22,705","14,8","13,103","14,896","18,905","21,325","25,495","33,01","34,418","43,78","52,132","55,701","62,59","62,28","57,971","57,335","64,295","64,541","61,238","53,558","59,321","71,887","77,313","80,81","84,414","87,782","91,422","94,984"
Venezuela,"69,841","78,367","79,998","79,672","57,826","59,865","60,877","46,854","60,378","44,672","48,391","53,382","60,4","59,865","58,357","77,427","70,536","85,684","91,836","97,517","117,596","123,119","95,258","83,684","112,254","143,375","178,521","232,857","306,764","268,624","318,281","316,482","372,592","258,931","214,69","125,449","112,915","115,883","102,021","73,003","43,788","57,148","93,111","96,628","100,633",no data,no data,no data,no data
