"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Argentina,"8361,209","6671,428","3257,853","3962,735","4374,783","3248,745","3857,027","3909,984","4524,498","2867,307","4857,796","6429,454","7653,711","7796,24","8378,735","8295,123","8645,455","9196,516","9283,175","8709,072","8638,543","8085,356","2997,621","3761,088","4314,098","5163,55","5976,082","7315,726","9146,79","8337,811","10412,974","12787,806","13889,792","14488,829","13208,831","14895,316","12772,868","14618,327","11786,433","10054,023","8571,937","10616,947","13655,2","13709,49","13520,4","13326,204","13493,899","13984,385","14489,737"
Bolivia,"695,535","615,66","668,55","619,896","631,152","668,921","640,94","683,625","712,146","715,525","723,431","776,711","803,547","793,646","805,183","886,368","956,965","1006,102","1057,72","1010,58","994,617","949,383","904,851","908,203","968,545","1037,176","1226,845","1383,894","1729,369","1769,441","1972,684","2368,523","2635,933","2938,421","3114,966","3069,319","3110,874","3388,523","3588,089","3591,403","3172,556","3449,384","3613,837","3800,282","3963,162","4146,085","4321,27","4508,264","4703,35"
Brazil,"1229,883","1382,548","1446,228","1134,932","1105,852","1719,515","1955,069","2087,445","2289,424","3087,928","3106,116","2677,837","2523,736","2787,164","3495,239","4851,99","5204,574","5321,137","5123,549","3501,438","3772,05","3177,94","2856,026","3089,141","3660,02","4819,872","5921,179","7390,653","8878,359","8649,578","11333,023","13295,899","12424,946","12358,342","12175,683","8846,476","8757,304","9978,09","9194,148","8914,171","6970,719","7754,611","8995,029","9673,093","10217,933","10676,186","11202,211","11658,208","12124,12"
Chile,"2598,159","3025,972","2219,964","1774,676","1698,949","1434,434","1515,068","1756,21","2035,335","2305,635","2521,569","2849,743","3392,088","3572,096","4058,557","5153,88","5387,405","5799,339","5475,546","4985,768","5099,922","4608,057","4479,771","4824,87","6183,906","7558,009","9410,392","10447,116","10759,738","10176,733","12723,064","14560,249","15316,01","15740,391","14582,85","13494,489","13722,878","15003,77","15755,003","14567,988","13067,742","16059,804","15094,829","17827,414","18510,216","19071,735","19613,083","20247,786","20971,27"
Colombia,"1682,427","1792,984","1878,86","1827,905","1767,893","1623,658","1592,848","1624,054","1714,91","1694,091","1691,106","1712,347","1986,543","2209,203","2726,817","3035,313","3137,068","3399,33","3090,903","2673,665","2535,477","2461,328","2424,349","2313,535","2827,173","3493,976","3836,682","4834,416","5622,109","5330,795","6498,585","7518,304","8237,293","8409,688","8312,056","6337,022","6037,133","6577,287","6923,64","6540,141","5363,072","6239,274","6664,269","6417,047","6592,582","6848,878","7151,306","7464,117","7790,612"
Ecuador,"2097,141","2087,382","2026,375","1732,499","1794,733","2044,313","1461,92","1332,147","1234,671","1182,529","1173,126","1286,617","1375,712","1572,842","1858,323","1980,373","2037,13","2253,233","2257,861","1598,768","1461,838","1909,424","2180,386","2434,977","2700,118","3025,012","3351,476","3588,311","4267,473","4241,938","4633,247","5192,875","5664,886","6030,502",6347,"6099,351","6046,302","6216,606","6318,477","6260,603","5670,33","5978,915","6462,217","6642,7","6829,211","6987,739","7159,412","7329,498","7503,562"
Guyana,"1101,855","1055,839","904,864","921,541","861,055","924,305","1053,703","982,258","1125,871","1146,242","950,968","1036,884","1145,783","1392,984","1626,898","1832,399","2048,527","2161,647","2035,856","2010,769","2017,2","2023,617","2092,961","2144,109","2232,996","2305,907","2551,768","2982,217","3329,637","3457,367","3837,303","4402,775","5360,276","5476,744","5402,703","5579,974","5796,819","6104,158","6120,536","6594,375","6952,702","9702,541","18342,283","20539,9","27641,213","28329,967","36919,524","37907,197","38988,594"
Paraguay,"1299,661","1608,463","1636,527","1762,992","1390,886","1154,145","1335,761","1084,695","1392,417","977,835","1185,277","1585,242","1592,055","1580,207","1681,396","1897,134","2008,188","2003,578","1824,648","1706,395","1675,793","1577,681","1312,083","1377,521","1693,886","1857,78","2285,125","2988,684","4054,044","3623,931","4329,69","5301,834","5153,417","5892,846","6065,282","5360,077","5265,061","5608,156","5703,324","5302,239","4885,396","5433,251","5538,714","5667,941","5914,491","6250,091","6524,22","6819,436","7136,539"
Peru,"1164,828","1373,068","1332,455","1011,725","1018,785","861,599","1263,729","2040,65","1579,545","1908,456","1301,465","1530,736","1562,58","1487,861","1839,228","2147,428","2193,686","2272,351","2141,114","1903,93","1940,238","1935,546","2017,765","2159,744","2408,091","2669,214","3106,719","3587,798","4209,038","4179,71","5055,521","5736,12","6407,63","6647,517","6583,999","6164,215","6207,429","6776,888","7051,59","7006,337","6145,031","6678,85","7094,448","7772,959","8017,964","8320,052","8633,372","8952,291","9284,513"
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"1413,616","1535,96","1406,579","1093,085","1213,311","2270,813","2790,049","2945,34","3495,323","2837,245","2904,549","2464,817","3075,376","3571,556","4057,746","4800,797","5577,122","6165,518","7316,459","7917,317","8806,017","8770,289","9844,747","10013,725","10042,68","9036,347","5761,783","6156,461","6772,07","6662,874","4786,833","4896,065","5705,726","5556,523","5980,67","6198,385","6468,513","6772,245","7070,487"
Uruguay,"4139,894","4588,983","3727,408","2032,97","1920,896","1865,107","2302,543","2864,701","2946,361","3088,005","3573,099","4281,106","4890,205","5659,542","6529,958","7176,409","7580,578","7925,923","8329,081","7814,547","7400,771","6774,7","4422,232","3924,936","4457,927","5639,444","6350,363","7590,447","9815,437","10188,662","12888,965","15276,148","16256,069","18193,919","18033,016","16720,59","16474,538","18405,742","18408,701","17404,371","15168,311","16742,911","20221,94","21677,293","22585,97","23520,558","24385,855","25321,01","26229,044"
Venezuela,"4671,078","5085,58","5041,589","4883,234","3447,45","3472,186","3488,564","2619,24","3292,792","2378,158","2492,939","2685,293","2968,496","2876,077","2741,979","3559,77","3174,631","3778,537","3970,433","4133,37","4820,646","4963,916","3778,255","3266,095","4311,999","5421,656","6646,803","8538,102","11079,069","9557,55","11158,18","10934,275","12688,11","8692,955","7107,443","4096,971","3676,384","3806,656","3529,72","2624,411","1566,623","2071,603","3459,154","3640,812","3803,382",no data,no data,no data,no data
